runparse.pl filename startdate enddate
startdate 19700000
enddate 21000000
19911107 | 0:42:03 |  10.0 | 4:12 |     |     |     asics| mood,path carling,park,loop,front,ringroad  
19911110 | 0:23:22 |   6.0 | 3:53 |     |     |     asics| loop at home *  
19911111 | 0:35:45 |   7.0 | 5:06 |     |     |     asics| loop at home - with Tom  
19911112 | 0:30:39 |   7.0 | 4:22 |     |     |     asics| castlefrank, kakulu  
19911114 | 0:30:46 |   7.0 | 4:23 |     |     |     asics| castlefrank, kakulu  
19911115 | 0:53:23 |  13.5 | 3:57 |     |     |     asics| home to m&ds  
19911117 | 0:41:16 |  10.0 | 4:07 |     |     |     asics| home to d&cs  
19911118 | 0:37:59 |   9.5 | 3:59 |     |     |     asics| mood,path carling,park,loop,front  
19911119 | 0:41:33 |  10.0 | 4:09 |     |     |     asics| mood,path carling,park,loop,front,ringroad  
19911120 | 0:30:57 |   7.5 | 4:07 |     |     |     asics| grandview + 2 loops, ringroad  
19911121 | 0:38:58 |  10.0 | 3:53 |     |     |     asics| mood,path behind equestrian park  
19911122 | 0:39:02 |   9.5 | 4:06 |     |     |     asics| mood,path carling,park,loop,front-reverse  
19911123 | 0:41:17 |   9.5 | 4:20 |     |     |     asics| castlefrank,kakulu,eagleson,wavepool,tfox  
19911124 | 0:42:47 |  10.0 | 4:16 |     |     |     asics| castlefrank,kakulu,eagleson,tfox,melanie  
19911125 | 0:28:19 |   7.0 | 4:02 |     |     |     asics| grandview + 2 loops  
19911126 | 0:51:48 |  11.5 | 4:30 |     |     |     asics| home to work  
19911126 | 0:50:34 |  11.5 | 4:23 |     |     |     asics| work to home  
19911127 | 0:41:46 |  10.0 | 4:10 |     |     |     asics| mood,path behind equestrian park  
19911128 | 0:29:35 |   7.0 | 4:13 |     |     |     asics| grandview + 2 loops  
19911130 | 1:06:59 |  15.5 | 4:19 |     |     |     asics| loop at home - very cold  
19911202 | 0:39:23 |   9.0 | 4:22 |     |     |     asics| path#1,grandview,loop,ringroad  
19911204 | 0:33:59 |   7.5 | 4:31 |     |     |     asics| grandview + 2 loops, ringroad  
19911205 | 0:30:46 |   7.5 | 4:06 |     |     |     asics| grandview + 2 loops, ringroad  
19911206 | 0:44:40 |  10.0 | 4:28 |     |     |     asics| mood,path carling,park,loop,front,ringroad  
19911207 | 0:30:57 |   7.0 | 4:25 |     |     |     asics| loop at home + melanie  
19911209 | 0:29:50 |   7.5 | 3:58 |     |     |     asics| grandview + 2 loops, ringroad  
19911210 | 0:54:27 |  13.2 | 4:07 |     |     |     asics| corkstown to eagleson  
19911212 | 0:28:45 |   7.5 | 3:50 |     |     |     asics| grandview + 2 loops, ringroad *  
19911213 | 0:30:09 |   7.5 | 4:01 |     |     |     asics| grandview + 2 loops, ringroad  
19911216 | 0:33:27 |   7.5 | 4:27 |     |     |     asics| grandview + 2 loops, ringroad  
19911217 | 0:33:07 |   7.5 | 4:24 |     |     |     asics| grandview + 2 loops, ringroad  
19911219 | 0:33:01 |   7.5 | 4:24 |     |     |     asics| grandview + 2 loops, ringroad  
19911225 | 1:10:00 |  15.0 | 4:40 |     |     |     asics| the reeves to m&ds  
19911226 | 0:33:04 |   7.0 | 4:43 |     |     |     asics| loop at home + melanie  
19911227 | 0:43:51 |  10.0 | 4:23 |     |     |     asics| catimivik,kakulu,towncentre...  
19911229 | 0:41:41 |  10.0 | 4:10 |     |     |     asics| catimivik,kakulu,towncentre...  
19911231 | 0:26:52 |   6.0 | 4:28 |     |     |     asics| loop at home  
19920101 | 1:03:08 |  14.5 | 4:21 |     |     |     asics| home to m&ds  
19920102 | 0:41:50 |  10.0 | 4:11 |     |     |     asics| catimivik,kakulu,towncentre...  
19920105 | 0:39:54 |  10.0 | 3:59 |     |     |     asics| catimivik,kakulu,towncentre...  
19920106 | 0:31:27 |   7.5 | 4:11 |     |     |     asics| grandview + 2 loops, ringroad  
19920107 | 0:42:53 |  10.2 | 4:12 |     |     |     asics| moodie corkstown to over hill  
19920108 | 0:30:50 |   7.5 | 4:06 |     |     |     asics| grandview + 2 loops, ringroad  
19920109 | 0:35:14 |   7.5 | 4:41 |     |     |     asics| grandview + 2 loops, ringroad  
19920110 | 0:43:52 |  10.2 | 4:18 |     |     |     asics| moodie corkstown to over hill  
19920111 | 0:38:08 |   9.0 | 4:14 |     |     |     asics| hazeldean,tfox,klakes,reeves  
19920112 | 0:37:13 |   8.5 | 4:22 |     |     |     asics| home to d&cs  
19920113 | 0:45:40 |  10.2 | 4:28 |     |     |     asics| moodie corkstown to over hill  
19920117 | 0:35:50 |   8.0 | 4:28 |     |     |     asics| grandview  
19920118 | 1:11:48 |  17.0 | 4:13 |     |     |     asics| loop at home through klakes  
19920119 | 0:32:31 |   7.0 | 4:38 |     |     |     asics| castlefrank, kakulu  
19920120 | 0:35:04 |   8.0 | 4:23 |     |     |     asics| grandview  
19920121 | 0:44:54 |  10.2 | 4:24 |     |     |     asics| moodie corkstown to over hill  
19920122 | 0:28:04 |   7.0 | 4:00 |     |     |     asics| grandview + 2 loops  
19920126 | 0:41:15 |  10.0 | 4:07 |     |     |     asics| RACE - Richmond 10K  -16c slush  
19920127 | 0:34:27 |   8.0 | 4:18 |     |     |     asics| grandview  
19920128 | 0:42:53 |  10.2 | 4:12 |     |     |     asics| moodie corkstown to over hill  
19920129 | 0:33:52 |   8.0 | 4:14 |     |     |     asics| grandview  
19920130 | 0:31:40 |   7.0 | 4:31 |     |     |     asics| grandview + 2 loops  
19920201 | 1:16:41 |  17.0 | 4:30 |     |     |     asics| towards Carleton Place  
